 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)	T (7)	Base X (7)	Base Y (7)	Tip X (7)	Tip Y (7)	||[body,base]|| (7)	||[base,tip]||  (7)	||[base,tip]|| : [body,base] (7)	[base,tip] ? [body,base] (7)	?||[base,tip]|| : [body,base] (7)	||[tip(t-1),tip(t)]|| : [base,tip] (7)	||[base(t-1),base(t)]|| : [base,tip] (7)	T (8)	Base X (8)	Base Y (8)	Tip X (8)	Tip Y (8)	||[body,base]|| (8)	||[base,tip]||  (8)	||[base,tip]|| : [body,base] (8)	[base,tip] ? [body,base] (8)	?||[base,tip]|| : [body,base] (8)	||[tip(t-1),tip(t)]|| : [base,tip] (8)	||[base(t-1),base(t)]|| : [base,tip] (8)	T (9)	Base X (9)	Base Y (9)	Tip X (9)	Tip Y (9)	||[body,base]|| (9)	||[base,tip]||  (9)	||[base,tip]|| : [body,base] (9)	[base,tip] ? [body,base] (9)	?||[base,tip]|| : [body,base] (9)	||[tip(t-1),tip(t)]|| : [base,tip] (9)	||[base(t-1),base(t)]|| : [base,tip] (9)	T (10)	Base X (10)	Base Y (10)	Tip X (10)	Tip Y (10)	||[body,base]|| (10)	||[base,tip]||  (10)	||[base,tip]|| : [body,base] (10)	[base,tip] ? [body,base] (10)	?||[base,tip]|| : [body,base] (10)	||[tip(t-1),tip(t)]|| : [base,tip] (10)	||[base(t-1),base(t)]|| : [base,tip] (10)
1	0.000	1.000	40.885	33.215	42.705	30.615	32.513	3.174	3.172	103.141	NaN	NaN	NaN	1.000	38.935	33.995	41.210	21.775	30.742	12.430	11.345	348.761	NaN	NaN	NaN	1.000	41.340	38.285	42.185	37.765	28.921	0.992	0.959	27.724	NaN	NaN	NaN	1.000	40.950	41.080	43.940	40.365	26.674	3.074	2.674	71.318	NaN	NaN	NaN	1.000	33.930	41.925	28.015	38.285	21.376	6.945	-0.498	-10.647	NaN	NaN	NaN	1.000	42.705	46.605	49.205	44.200	24.747	6.931	6.815	168.641	NaN	NaN	NaN	1.000	42.510	48.230	49.010	51.090	23.783	7.101	4.427	105.287	NaN	NaN	NaN	45.000	41.145	36.660	41.210	36.595	30.274	0.092	0.092	2.776	NaN	NaN	NaN	50.000	35.815	39.845	35.750	39.780	24.611	0.092	0.014	0.351	NaN	NaN	NaN	58.000	39.910	42.120	39.975	42.250	25.521	0.145	-0.042	-1.065	NaN	NaN	NaN	84.000	39.455	43.745	39.845	44.265	24.098	0.650	-0.046	-1.115	NaN	NaN	NaN
2	1.000	2.000	40.820	33.280	42.770	30.420	32.449	3.462	3.459	112.250	0.287	0.198	-0.090	2.000	38.935	33.865	41.210	21.775	30.883	12.302	11.279	348.322	-0.066	NaN	0.128	2.000	41.470	38.220	42.315	37.765	29.062	0.960	0.910	26.449	-0.049	0.114	0.145	2.000	40.950	41.080	43.875	40.430	26.668	2.996	2.571	68.572	-0.102	-0.078	NaN	2.000	33.865	41.860	28.015	38.350	21.423	6.822	-0.479	-10.267	0.019	-0.033	0.089	2.000	42.965	46.475	49.335	44.135	24.993	6.786	6.662	166.490	-0.153	0.144	0.289	2.000	42.575	48.230	49.010	51.090	23.786	7.042	4.336	103.128	-0.091	NaN	0.059	46.000	41.210	36.660	41.340	36.595	30.366	0.145	0.134	4.077	0.043	0.116	0.058	51.000	36.140	39.910	35.880	39.845	24.843	0.268	-0.104	-2.577	-0.118	-0.142	-0.331	59.000	39.845	42.185	39.910	42.315	25.521	0.145	-0.042	-1.065	4.892E-15	0.029	0.029	85.000	39.390	43.745	39.780	45.305	23.708	1.608	-0.748	-17.745	-0.702	0.993	-0.016
3	2.000	3.000	40.820	33.280	42.900	30.355	32.397	3.589	3.589	116.259	0.129	0.128	NaN	3.000	39.000	33.800	41.210	21.710	30.919	12.290	11.234	347.337	-0.045	0.064	0.076	3.000	41.535	38.220	42.315	37.765	29.060	0.903	0.866	25.177	-0.044	NaN	0.056	3.000	40.820	41.080	43.745	40.495	26.529	2.983	2.524	66.962	-0.047	-0.140	-0.127	3.000	33.865	41.795	28.080	38.350	21.423	6.733	-0.495	-10.609	-0.016	-0.056	0.033	3.000	42.965	46.540	49.335	44.135	24.926	6.809	6.701	167.018	0.039	NaN	-0.023	3.000	42.510	48.230	48.945	50.960	23.698	6.990	4.403	104.341	0.067	-0.111	-0.060	47.000	41.080	36.790	41.275	36.660	30.232	0.234	0.226	6.828	0.092	-0.090	-0.180	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	39.845	42.120	39.975	42.380	25.476	0.291	-0.083	-2.113	-0.041	0.087	-0.058	86.000	39.390	43.680	39.780	44.395	23.751	0.814	-0.187	-4.445	0.561	-0.799	-0.057
4	3.000	4.000	40.625	33.605	42.965	30.290	32.138	4.058	4.057	130.388	0.469	0.091	-0.378	4.000	39.000	33.800	41.145	21.905	31.044	12.087	11.062	343.404	-0.172	-0.203	NaN	4.000	41.535	38.220	42.315	37.830	29.157	0.872	0.817	23.829	-0.049	-0.029	NaN	4.000	40.690	41.145	43.615	40.495	26.478	2.996	2.555	67.663	0.031	-0.127	-0.141	4.000	33.930	41.795	28.015	38.285	21.583	6.878	-0.481	-10.381	0.014	0.089	-0.056	4.000	43.095	46.475	49.530	44.070	25.116	6.870	6.747	169.452	0.046	0.205	0.145	4.000	42.445	48.165	48.945	50.960	23.707	7.075	4.362	103.407	-0.041	NaN	-0.085	48.000	41.080	36.855	41.340	36.595	30.182	0.368	0.367	11.070	0.141	0.092	-0.046	53.000	36.205	39.845	35.880	39.910	24.986	0.331	-0.247	-6.160	-0.247	NaN	NaN	61.000	39.780	42.120	39.910	42.445	25.340	0.350	-0.127	-3.211	-0.044	0.036	-0.024	87.000	39.390	43.680	39.910	44.590	23.665	1.048	-0.216	-5.121	-0.029	0.234	NaN
5	4.000	5.000	40.495	33.735	42.965	30.225	32.047	4.292	4.291	137.524	0.234	0.053	-0.181	5.000	38.935	33.930	41.145	21.970	30.990	12.162	11.146	345.428	0.085	-0.064	-0.140	5.000	41.470	38.220	42.315	37.765	29.205	0.960	0.909	26.537	0.091	0.031	-0.057	5.000	40.755	41.145	43.550	40.495	26.617	2.870	2.464	65.593	-0.091	-0.063	0.063	5.000	33.800	41.860	28.015	38.350	21.546	6.767	-0.390	-8.408	0.091	-0.034	0.077	5.000	42.965	46.540	49.660	44.005	25.060	7.159	7.035	176.292	0.288	0.145	-0.145	5.000	42.445	48.165	48.880	50.960	23.795	7.016	4.299	102.291	-0.063	-0.060	NaN	49.000	41.145	36.725	41.340	36.595	30.422	0.234	0.226	6.866	-0.141	NaN	0.126	54.000	36.270	39.845	36.010	39.845	24.973	0.260	-0.156	-3.904	0.090	-0.130	-0.065	62.000	39.780	42.185	39.975	42.445	25.252	0.325	-0.034	-0.849	0.093	0.039	0.052	88.000	39.455	43.810	40.040	44.655	23.584	1.028	-0.116	-2.746	0.100	0.127	0.144
6	5.000	6.000	40.365	33.930	42.965	30.225	31.866	4.526	4.525	144.208	0.234	NaN	-0.234	6.000	39.000	33.995	41.145	22.100	31.027	12.087	11.048	342.770	-0.099	-0.128	-0.052	6.000	41.535	38.155	42.250	37.700	29.344	0.847	0.820	24.057	-0.089	-0.020	0.090	6.000	40.430	41.210	43.485	40.495	26.384	3.138	2.683	70.786	0.219	-0.063	-0.331	6.000	33.865	41.795	28.015	38.350	21.690	6.789	-0.474	-10.288	-0.084	NaN	-0.023	6.000	42.965	46.540	49.790	43.875	25.094	7.327	7.211	180.944	0.176	0.168	NaN	6.000	42.445	48.165	48.750	50.960	23.827	6.897	4.172	99.397	-0.127	-0.119	NaN	50.000	41.080	36.725	41.340	36.465	30.330	0.368	0.367	11.120	0.141	0.092	-0.046	55.000	36.205	39.845	35.620	39.585	24.882	0.640	-0.144	-3.574	0.013	0.462	0.059	63.000	39.845	42.185	40.040	42.575	25.255	0.436	-0.120	-3.042	-0.087	0.145	0.029	89.000	39.520	43.940	40.040	44.785	23.499	0.992	-0.161	-3.790	-0.045	0.111	0.145
7	6.000	7.000	40.170	34.255	43.030	30.095	31.383	5.048	5.046	158.353	0.520	0.144	-0.378	7.000	39.000	33.865	41.145	22.100	31.027	11.959	10.940	339.432	-0.108	NaN	0.128	7.000	41.405	38.220	42.250	37.700	29.113	0.992	0.956	27.839	0.136	NaN	-0.145	7.000	40.300	41.210	43.485	40.495	26.200	3.264	2.776	72.729	0.093	NaN	-0.127	7.000	33.930	41.600	27.950	38.285	21.780	6.837	-0.660	-14.382	-0.186	0.088	0.038	7.000	42.965	46.540	49.985	43.810	25.026	7.532	7.417	185.613	0.206	0.205	NaN	7.000	42.445	48.230	48.750	50.895	23.733	6.845	4.273	101.413	0.101	-0.025	0.025	51.000	41.210	36.595	41.470	36.400	30.605	0.325	0.317	9.713	-0.049	0.143	0.182	56.000	36.140	39.780	35.750	39.845	24.908	0.395	-0.284	-7.081	-0.141	-0.085	0.053	64.000	39.910	42.250	40.170	42.575	25.124	0.416	-0.026	-0.659	0.094	0.081	0.091	90.000	39.845	44.525	40.105	44.850	23.461	0.416	-0.005	-0.123	0.156	0.091	0.660
8	7.000	8.000	40.300	34.060	43.160	29.900	31.656	5.048	5.046	159.722	-2.145E-4	0.234	0.234	8.000	39.000	33.735	41.210	21.905	31.171	12.035	11.033	343.915	0.093	0.204	0.128	8.000	41.535	38.155	42.315	37.570	29.294	0.975	0.960	28.126	0.004	0.130	0.143	8.000	40.170	41.275	43.615	40.495	26.108	3.532	3.007	78.513	0.231	0.127	-0.141	8.000	33.930	41.665	28.015	38.350	21.763	6.781	-0.652	-14.179	0.009	-0.088	-0.032	8.000	42.900	46.540	50.115	43.745	25.026	7.737	7.617	190.628	0.200	0.145	-0.061	8.000	42.380	48.165	48.685	50.895	23.764	6.871	4.229	100.500	-0.044	-0.060	-0.085	52.000	41.210	36.660	41.665	36.075	30.563	0.741	0.740	22.625	0.423	0.376	-0.051	57.000	36.075	39.780	35.815	39.585	24.908	0.325	0.002	0.051	0.286	0.104	0.052	65.000	39.975	42.315	40.365	42.510	25.264	0.436	0.158	3.993	0.184	0.145	0.087	91.000	40.105	44.850	40.300	44.915	23.460	0.206	0.113	2.641	0.118	0.206	0.349
9	8.000	9.000	40.235	34.125	43.225	29.705	31.604	5.336	5.332	168.501	0.286	0.198	-0.090	9.000	38.935	33.865	41.210	21.905	31.063	12.174	11.166	346.851	0.133	NaN	-0.140	9.000	41.600	38.025	42.445	37.440	29.477	1.028	1.005	29.613	0.044	0.181	0.127	9.000	40.495	41.145	43.745	40.495	26.478	3.314	2.789	73.853	-0.218	0.127	0.344	9.000	34.515	41.925	28.080	38.285	21.931	7.393	-0.910	-19.955	-0.258	-0.025	-0.637	9.000	42.770	46.540	50.245	43.680	24.971	8.003	7.871	196.547	0.254	0.145	-0.121	9.000	42.445	48.230	48.620	50.830	23.848	6.700	4.203	100.238	-0.026	-0.085	0.085	53.000	41.210	36.725	41.730	36.205	30.556	0.735	0.733	22.409	-0.007	-0.046	-0.046	58.000	36.140	39.715	35.815	39.585	24.804	0.350	-0.090	-2.231	-0.092	NaN	-0.036	66.000	40.105	42.380	40.430	42.575	25.273	0.379	0.113	2.843	-0.046	0.089	0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10	9.000	10.000	40.300	33.995	43.420	29.510	31.852	5.463	5.462	173.964	0.130	0.271	0.144	10.000	39.000	33.865	41.210	21.775	31.207	12.290	11.240	350.768	0.074	0.128	0.012	10.000	41.795	37.895	42.575	37.440	29.800	0.903	0.865	25.777	-0.140	0.112	0.234	10.000	40.300	41.210	43.810	40.430	26.384	3.596	3.053	80.562	0.264	0.078	-0.204	10.000	34.515	41.860	28.015	38.285	22.088	7.418	-0.962	-21.252	-0.052	0.057	0.031	10.000	42.640	46.605	50.310	43.680	24.894	8.209	8.064	200.742	0.193	0.061	-0.145	10.000	42.380	48.165	48.555	50.830	23.884	6.726	4.128	98.582	-0.076	-0.060	-0.085	54.000	41.145	36.725	41.795	36.075	30.464	0.919	0.917	27.927	0.183	0.138	-0.046	59.000	36.075	39.650	35.620	39.845	24.908	0.495	-0.427	-10.647	-0.338	0.282	0.034	67.000	40.105	42.445	40.495	42.705	25.230	0.469	0.119	2.991	0.006	0.126	0.036	93.000	39.650	44.330	40.170	45.045	23.353	0.884	-0.058	-1.360	-0.058	-0.282	0.196
11	10.000	11.000	40.235	34.190	43.615	29.315	31.604	5.932	5.929	187.391	0.468	0.271	-0.197	11.000	38.935	33.930	41.210	21.775	31.063	12.366	11.327	351.858	0.087	NaN	-0.076	11.000	42.120	37.830	42.575	37.245	30.023	0.741	0.738	22.143	-0.127	0.154	0.251	11.000	40.430	41.210	43.940	40.430	26.431	3.596	3.063	80.968	0.010	0.127	0.127	11.000	34.515	41.860	28.015	38.285	22.036	7.418	-0.975	-21.484	-0.013	NaN	NaN	11.000	42.640	46.605	50.375	43.615	24.860	8.293	8.157	202.775	0.093	0.084	NaN	11.000	42.380	48.165	48.490	50.895	23.852	6.692	4.052	96.651	-0.076	-0.033	NaN	55.000	41.145	36.725	41.730	36.075	30.415	0.874	0.874	26.592	-0.042	-0.043	NaN	60.000	36.140	39.650	35.555	39.520	24.843	0.599	-0.246	-6.122	0.181	0.134	-0.063	68.000	40.235	42.380	40.495	42.770	25.327	0.469	-0.063	-1.606	-0.182	0.054	0.018	94.000	39.585	44.135	39.585	45.240	23.562	1.105	-0.716	-16.879	-0.658	0.195	-0.195
12	11.000	12.000	40.235	34.190	43.745	29.120	31.747	6.166	6.164	195.677	0.234	0.234	NaN	12.000	38.935	34.125	41.210	21.775	31.046	12.558	11.473	356.210	0.146	NaN	-0.192	12.000	42.055	37.895	42.770	37.180	30.070	1.011	1.011	30.395	0.273	0.184	-0.092	12.000	40.430	41.145	44.070	40.365	26.614	3.723	3.150	83.824	0.086	0.141	0.014	12.000	34.450	41.730	28.080	38.350	22.246	7.211	-1.005	-22.367	-0.030	-0.088	0.118	12.000	42.640	46.605	50.440	43.615	24.983	8.353	8.207	205.048	0.051	0.061	NaN	12.000	42.315	48.165	48.425	50.830	23.915	6.666	4.058	97.048	0.006	-0.086	-0.060	56.000	41.210	36.595	41.795	36.010	30.563	0.827	0.825	25.211	-0.049	0.092	0.138	61.000	35.945	39.585	35.425	39.390	24.674	0.555	-0.153	-3.773	0.094	0.167	0.205	69.000	40.105	42.315	40.495	42.835	25.182	0.650	-0.055	-1.394	0.008	0.052	-0.130	95.000	39.585	44.135	40.235	45.045	23.604	1.118	-0.097	-2.298	0.619	0.219	NaN
13	12.000	13.000	40.105	34.450	43.875	28.990	31.565	6.635	6.632	209.340	0.468	0.181	-0.288	13.000	38.870	34.255	41.210	21.840	31.010	12.634	11.573	358.863	0.099	-0.064	-0.140	13.000	41.990	37.960	42.835	37.050	30.073	1.242	1.242	37.345	0.231	0.139	-0.092	13.000	40.430	41.210	44.070	40.365	26.659	3.737	3.192	85.087	0.042	NaN	-0.015	13.000	34.515	41.795	28.210	38.415	22.337	7.154	-0.972	-21.708	0.034	-0.145	-0.088	13.000	42.575	46.540	50.440	43.615	25.031	8.391	8.215	205.635	0.008	NaN	-0.038	13.000	42.380	48.165	48.425	50.830	24.035	6.606	3.983	95.734	-0.075	NaN	0.059	57.000	41.145	36.725	41.860	35.880	30.464	1.107	1.107	33.720	0.282	0.141	-0.141	62.000	35.880	39.585	35.360	39.390	24.583	0.555	-0.153	-3.752	2.938E-4	0.061	0.061	70.000	40.105	42.380	40.430	42.965	25.225	0.669	-0.148	-3.743	-0.093	0.082	0.057	96.000	39.585	44.200	40.430	44.980	23.562	1.150	0.138	3.245	0.235	0.099	0.044
14	13.000	14.000	40.170	34.385	44.005	28.795	31.656	6.779	6.775	214.474	0.143	0.234	0.090	14.000	38.935	34.385	41.210	21.775	30.939	12.814	11.675	361.229	0.103	0.064	-0.116	14.000	42.055	37.895	42.835	36.920	30.165	1.249	1.245	37.543	0.003	0.102	0.091	14.000	40.625	41.080	44.200	40.430	26.890	3.634	3.012	80.993	-0.180	0.116	0.215	14.000	34.515	41.860	28.210	38.415	22.284	7.185	-0.931	-20.757	0.040	NaN	-0.031	14.000	42.640	46.605	50.505	43.550	25.052	8.437	8.290	207.680	0.075	0.084	0.037	14.000	42.380	48.165	48.360	50.830	24.035	6.547	3.926	94.370	-0.057	-0.059	NaN	58.000	41.145	36.660	41.860	35.815	30.323	1.107	1.107	33.563	-1.266E-5	0.050	0.050	63.000	35.880	39.585	35.230	39.325	24.531	0.700	-0.179	-4.386	-0.026	0.145	NaN	71.000	40.040	42.380	40.495	42.900	25.133	0.691	-0.008	-0.203	0.140	-0.006	-0.043	97.000	40.040	44.720	40.365	44.915	23.541	0.379	0.132	3.114	-0.005	-0.089	0.658
15	14.000	15.000	40.170	34.320	44.200	28.665	31.656	6.944	6.943	219.793	0.168	0.219	0.053	15.000	38.935	34.450	41.275	21.775	30.832	12.889	11.753	362.378	0.078	0.012	-0.064	15.000	41.990	37.830	42.900	36.660	30.121	1.482	1.476	44.455	0.231	0.245	0.011	15.000	40.495	41.080	44.330	40.365	26.751	3.901	3.240	86.672	0.228	0.140	-0.128	15.000	34.580	41.925	28.210	38.415	22.218	7.273	-0.959	-21.311	-0.028	NaN	-0.088	15.000	42.510	46.605	50.635	43.485	24.907	8.703	8.544	212.809	0.254	0.145	-0.121	15.000	42.315	48.100	48.230	50.765	23.978	6.488	3.863	92.620	-0.064	-0.145	-0.086	59.000	41.080	36.660	41.990	35.750	30.373	1.287	1.283	38.980	0.177	0.138	-0.046	64.000	36.010	39.650	35.295	39.260	24.414	0.814	-0.119	-2.898	0.060	-0.026	-0.145	72.000	39.975	42.250	40.560	42.900	25.172	0.874	-0.003	-0.072	0.005	0.043	-0.140	98.000	39.845	44.590	40.430	44.915	23.439	0.669	0.252	5.911	0.120	0.057	-0.234
16	15.000	16.000	40.170	34.385	44.330	28.470	31.604	7.231	7.229	228.475	0.286	0.234	-0.053	16.000	38.935	34.255	41.275	21.645	30.993	12.825	11.719	363.189	-0.035	0.128	0.192	16.000	42.055	37.635	43.095	36.400	30.307	1.615	1.612	48.871	0.137	0.324	0.191	16.000	40.560	41.080	44.330	40.365	26.798	3.837	3.197	85.675	-0.043	NaN	0.064	16.000	34.580	41.925	28.275	38.415	22.218	7.216	-0.921	-20.453	0.039	-0.057	NaN	16.000	42.640	46.605	50.700	43.485	25.018	8.643	8.493	212.484	-0.051	0.061	0.121	16.000	42.380	48.165	48.230	50.765	24.003	6.402	3.857	92.570	-0.006	NaN	0.086	60.000	41.015	36.725	41.925	35.685	30.182	1.382	1.382	41.709	0.099	0.006	-0.092	65.000	36.075	39.650	35.165	39.195	24.596	1.017	-0.185	-4.555	-0.066	0.145	-0.058	73.000	40.040	42.315	40.885	42.965	25.268	1.066	0.193	4.888	0.196	0.297	0.091	99.000	39.715	44.460	40.560	44.980	23.461	0.992	0.323	7.584	0.071	0.145	-0.179
17	16.000	17.000	40.040	34.450	44.460	28.275	31.527	7.594	7.593	239.393	0.364	0.234	-0.129	17.000	39.000	34.255	41.340	21.710	31.083	12.761	11.662	362.497	-0.056	-0.052	0.012	17.000	42.185	37.505	43.160	36.205	30.539	1.625	1.616	49.348	0.003	0.195	0.182	17.000	40.690	41.015	44.330	40.430	26.982	3.687	3.013	81.297	-0.184	-0.010	0.139	17.000	34.450	41.860	28.275	38.415	22.246	7.071	-0.838	-18.649	0.082	NaN	0.145	17.000	42.575	46.605	50.700	43.485	24.997	8.703	8.543	213.540	0.049	NaN	-0.061	17.000	42.315	48.165	48.230	50.765	23.978	6.461	3.894	93.381	0.038	NaN	-0.060	61.000	41.015	36.725	41.925	35.685	30.084	1.382	1.382	41.574	1.427E-5	NaN	NaN	66.000	35.945	39.715	35.035	39.065	24.414	1.118	-0.028	-0.693	0.157	0.181	0.068	74.000	40.105	42.380	40.950	43.095	25.182	1.107	0.154	3.883	-0.039	0.134	0.092	100.000	39.845	44.460	40.690	45.045	23.521	1.028	0.288	6.764	-0.036	0.144	0.107
18	17.000	18.000	40.105	34.385	44.655	28.080	31.513	7.775	7.775	245.008	0.182	0.272	0.091	18.000	39.000	34.125	41.275	21.710	31.083	12.622	11.518	358.022	-0.144	-0.012	0.128	18.000	42.120	37.505	43.225	36.010	30.399	1.859	1.847	56.146	0.231	0.195	-0.039	18.000	40.690	41.015	44.265	40.430	26.891	3.623	2.974	79.967	-0.039	-0.064	NaN	18.000	34.515	41.925	28.275	38.415	22.127	7.159	-0.878	-19.418	-0.039	NaN	-0.089	18.000	42.510	46.670	50.830	43.355	24.839	8.956	8.820	219.070	0.277	0.169	-0.084	18.000	42.315	48.100	48.490	50.830	23.947	6.752	4.071	97.479	0.176	0.264	-0.026	62.000	41.080	36.725	41.990	35.685	30.078	1.382	1.382	41.566	2.997E-6	0.043	0.043	67.000	35.945	39.650	35.035	39.065	24.466	1.082	-0.079	-1.922	-0.050	NaN	0.035	75.000	40.170	42.575	41.080	43.160	25.193	1.082	0.297	7.478	0.143	0.145	0.160	101.000	39.325	44.005	40.820	45.240	23.238	1.939	0.336	7.808	0.048	0.224	-0.691
19	18.000	19.000	40.105	34.385	44.785	27.885	31.408	8.010	8.009	251.540	0.234	0.234	NaN	19.000	39.000	33.865	41.275	21.775	31.190	12.302	11.262	351.271	-0.256	-0.064	0.256	19.000	42.185	37.375	43.355	35.815	30.444	1.950	1.938	59.015	0.092	0.234	0.143	19.000	40.625	40.950	44.265	40.430	26.799	3.677	2.975	79.734	0.002	NaN	-0.055	19.000	34.385	41.665	28.275	38.415	22.155	6.921	-0.954	-21.125	-0.076	NaN	0.237	19.000	42.575	46.670	51.155	43.225	24.826	9.246	9.118	226.371	0.299	0.350	0.060	19.000	42.380	48.100	48.750	50.895	23.941	6.956	4.243	101.582	0.172	0.264	0.060	63.000	41.080	36.725	41.925	35.750	30.029	1.290	1.290	38.743	-0.092	-0.092	NaN	68.000	36.075	39.715	34.970	39.000	24.441	1.316	-0.101	-2.480	-0.023	0.090	-0.144	76.000	40.235	42.510	41.080	43.160	25.236	1.066	0.203	5.125	-0.094	NaN	0.012	102.000	39.260	43.940	41.015	45.240	23.196	2.184	0.496	11.509	0.160	0.157	-0.091
20	19.000	20.000	40.040	34.190	44.915	27.625	31.370	8.177	8.177	256.512	0.168	0.286	0.118	20.000	39.000	33.605	41.145	21.840	31.244	11.959	10.926	341.380	-0.336	-0.087	0.256	20.000	42.055	37.440	43.550	35.685	30.165	2.305	2.303	69.459	0.364	0.225	-0.134	20.000	40.625	41.015	44.330	40.365	26.619	3.762	3.127	83.241	0.152	0.075	-0.011	20.000	34.450	41.730	28.275	38.415	21.984	7.009	-1.004	-22.067	-0.050	NaN	-0.088	20.000	42.510	46.670	51.285	43.160	24.669	9.451	9.327	230.089	0.209	0.145	-0.060	20.000	42.315	48.100	48.750	50.895	23.790	7.016	4.333	103.073	0.089	NaN	-0.060	64.000	41.080	36.725	41.925	35.685	29.889	1.340	1.339	40.019	0.049	0.050	NaN	69.000	36.010	39.715	34.905	38.935	24.310	1.353	-0.046	-1.124	0.055	0.091	0.053	77.000	40.300	42.640	41.145	43.225	25.290	1.028	0.251	6.359	0.048	0.090	0.127	103.000	39.195	44.005	41.080	45.305	22.928	2.290	0.606	13.900	0.110	0.090	-0.017
21	20.000	21.000	40.105	34.190	44.980	27.495	31.461	8.282	8.282	260.543	0.104	0.143	0.038	21.000	39.065	33.605	41.210	22.035	31.334	11.767	10.763	337.240	-0.164	-0.180	0.012	21.000	41.990	37.570	43.680	35.490	30.073	2.680	2.673	80.385	0.370	0.233	-0.142	21.000	40.625	41.080	44.330	40.365	26.619	3.773	3.172	84.437	0.045	NaN	-0.012	21.000	34.450	41.730	28.210	38.415	22.036	7.066	-1.030	-22.701	-0.026	0.057	NaN	21.000	42.510	46.670	51.415	43.095	24.703	9.596	9.468	233.896	0.141	0.145	NaN	21.000	42.250	48.035	48.880	50.960	23.795	7.247	4.407	104.873	0.075	0.145	-0.086	65.000	41.080	36.725	41.990	35.685	30.029	1.382	1.382	41.498	0.043	0.043	NaN	70.000	36.075	39.715	34.905	39.000	24.453	1.371	-0.136	-3.321	-0.090	-0.034	-0.055	78.000	40.365	42.640	41.210	43.290	25.339	1.066	0.210	5.332	-0.041	0.091	0.052	104.000	39.325	44.070	41.145	45.305	23.170	2.199	0.609	14.112	0.003	0.054	0.144
